Frame 14: X=501, Y=236, Radius=32, VelocityVer=2.80556, VelocityHor=-3.13194, DetectionNum=0
Frame 15: X=277, Y=473, Radius=32, VelocityVer=2.80556, VelocityHor=-3.13194, DetectionNum=0
Frame 16: X=50, Y=709, Radius=32, VelocityVer=2.80556, VelocityHor=-3.13194, DetectionNum=0
Frame 27: X=873, Y=445, Radius=27, VelocityVer=4.52778, VelocityHor=-2.36806, DetectionNum=1
Frame 28: X=701, Y=890, Radius=27, VelocityVer=4.52778, VelocityHor=-2.36806, DetectionNum=1
Frame 29: X=532, Y=1336, Radius=27, VelocityVer=4.52778, VelocityHor=-2.36806, DetectionNum=1
Frame 27: X=873, Y=445, Radius=27, VelocityVer=3.875, VelocityHor=-2.375, DetectionNum=2
Frame 28: X=701, Y=890, Radius=27, VelocityVer=3.875, VelocityHor=-2.375, DetectionNum=2
Frame 30: X=361, Y=1783, Radius=27, VelocityVer=3.875, VelocityHor=-2.375, DetectionNum=2
Frame 27: X=873, Y=445, Radius=27, VelocityVer=10.29514, VelocityHor=-2.37153, DetectionNum=3
Frame 29: X=532, Y=1336, Radius=27, VelocityVer=10.29514, VelocityHor=-2.37153, DetectionNum=3
Frame 30: X=361, Y=1783, Radius=27, VelocityVer=10.29514, VelocityHor=-2.37153, DetectionNum=3
Frame 28: X=701, Y=890, Radius=27, VelocityVer=13.09722, VelocityHor=-2.36111, DetectionNum=4
Frame 29: X=532, Y=1336, Radius=27, VelocityVer=13.09722, VelocityHor=-2.36111, DetectionNum=4
Frame 30: X=361, Y=1783, Radius=27, VelocityVer=13.09722, VelocityHor=-2.36111, DetectionNum=4
Frame 39: X=346, Y=398, Radius=28, VelocityVer=8.71528, VelocityHor=0.57639, DetectionNum=5
Frame 40: X=388, Y=795, Radius=28, VelocityVer=8.71528, VelocityHor=0.57639, DetectionNum=5
Frame 41: X=429, Y=1194, Radius=28, VelocityVer=8.71528, VelocityHor=0.57639, DetectionNum=5
Frame 39: X=346, Y=398, Radius=28, VelocityVer=7.29514, VelocityHor=0.57292, DetectionNum=6
Frame 40: X=388, Y=795, Radius=28, VelocityVer=7.29514, VelocityHor=0.57292, DetectionNum=6
Frame 42: X=469, Y=1591, Radius=28, VelocityVer=7.29514, VelocityHor=0.57292, DetectionNum=6
Frame 39: X=346, Y=398, Radius=28, VelocityVer=11.01389, VelocityHor=0.56597, DetectionNum=7
Frame 41: X=429, Y=1194, Radius=28, VelocityVer=11.01389, VelocityHor=0.56597, DetectionNum=7
Frame 42: X=469, Y=1591, Radius=28, VelocityVer=11.01389, VelocityHor=0.56597, DetectionNum=7
