Frame 0: X=323, Y=957, Radius=25
Frame 0: X=305, Y=57, Radius=8
Frame 0: X=214, Y=58, Radius=8
Frame 0: X=214, Y=34, Radius=8
Frame 0: X=156, Y=45, Radius=48
Frame 0: X=373, Y=40, Radius=58
Frame 0: X=276, Y=39, Radius=27
Frame 0: X=83, Y=37, Radius=34
Frame 1: X=72, Y=1437, Radius=25
Frame 1: X=305, Y=57, Radius=8
Frame 1: X=214, Y=58, Radius=8
Frame 1: X=413, Y=46, Radius=21
Frame 1: X=214, Y=34, Radius=8
Frame 1: X=156, Y=45, Radius=48
Frame 1: X=376, Y=37, Radius=29
Frame 1: X=336, Y=39, Radius=27
Frame 1: X=276, Y=39, Radius=27
Frame 1: X=83, Y=37, Radius=34
Frame 2: X=305, Y=57, Radius=8
Frame 2: X=214, Y=58, Radius=8
Frame 2: X=214, Y=34, Radius=8
Frame 2: X=156, Y=45, Radius=48
Frame 2: X=393, Y=40, Radius=39
Frame 2: X=338, Y=38, Radius=26
Frame 2: X=276, Y=39, Radius=27
Frame 2: X=83, Y=37, Radius=34
Frame 3: X=305, Y=57, Radius=8
Frame 3: X=214, Y=58, Radius=8
Frame 3: X=214, Y=34, Radius=8
Frame 3: X=156, Y=45, Radius=48
Frame 3: X=393, Y=39, Radius=40
Frame 3: X=338, Y=38, Radius=26
Frame 3: X=276, Y=39, Radius=27
Frame 3: X=83, Y=37, Radius=34
Frame 4: X=305, Y=57, Radius=8
Frame 4: X=214, Y=58, Radius=8
Frame 4: X=413, Y=46, Radius=21
Frame 4: X=214, Y=34, Radius=8
Frame 4: X=156, Y=45, Radius=48
Frame 4: X=376, Y=37, Radius=29
Frame 4: X=338, Y=38, Radius=26
Frame 4: X=276, Y=39, Radius=27
Frame 4: X=83, Y=37, Radius=34
Frame 5: X=305, Y=57, Radius=8
Frame 5: X=214, Y=58, Radius=8
Frame 5: X=214, Y=34, Radius=8
Frame 5: X=156, Y=45, Radius=48
Frame 5: X=393, Y=40, Radius=39
Frame 5: X=336, Y=40, Radius=29
Frame 5: X=276, Y=39, Radius=27
Frame 5: X=83, Y=37, Radius=34
Frame 6: X=305, Y=57, Radius=8
Frame 6: X=214, Y=58, Radius=8
Frame 6: X=214, Y=34, Radius=8
Frame 6: X=156, Y=45, Radius=48
Frame 6: X=393, Y=39, Radius=40
Frame 6: X=336, Y=40, Radius=29
Frame 6: X=276, Y=39, Radius=27
Frame 6: X=83, Y=37, Radius=34
Frame 7: X=305, Y=57, Radius=8
Frame 7: X=214, Y=58, Radius=8
Frame 7: X=413, Y=46, Radius=21
Frame 7: X=214, Y=34, Radius=8
Frame 7: X=156, Y=45, Radius=48
Frame 7: X=376, Y=37, Radius=29
Frame 7: X=336, Y=40, Radius=29
Frame 7: X=276, Y=39, Radius=27
Frame 7: X=83, Y=37, Radius=34
Frame 8: X=305, Y=57, Radius=8
Frame 8: X=214, Y=58, Radius=8
Frame 8: X=214, Y=34, Radius=8
Frame 8: X=156, Y=45, Radius=48
Frame 8: X=373, Y=40, Radius=58
Frame 8: X=276, Y=39, Radius=27
Frame 8: X=83, Y=37, Radius=34
Frame 9: X=305, Y=57, Radius=8
Frame 9: X=214, Y=58, Radius=8
Frame 9: X=214, Y=34, Radius=8
Frame 9: X=156, Y=45, Radius=48
Frame 9: X=373, Y=40, Radius=58
Frame 9: X=276, Y=39, Radius=27
Frame 9: X=83, Y=37, Radius=34
Frame 10: X=305, Y=57, Radius=8
Frame 10: X=214, Y=58, Radius=8
Frame 10: X=413, Y=46, Radius=21
Frame 10: X=214, Y=34, Radius=8
Frame 10: X=156, Y=45, Radius=48
Frame 10: X=376, Y=37, Radius=29
Frame 10: X=337, Y=38, Radius=29
Frame 10: X=276, Y=39, Radius=27
Frame 10: X=83, Y=37, Radius=34
Frame 11: X=305, Y=57, Radius=8
Frame 11: X=213, Y=58, Radius=8
Frame 11: X=213, Y=34, Radius=8
Frame 11: X=156, Y=46, Radius=48
Frame 11: X=373, Y=46, Radius=57
Frame 11: X=276, Y=39, Radius=27
Frame 11: X=82, Y=37, Radius=34
Frame 12: X=305, Y=57, Radius=8
Frame 12: X=213, Y=58, Radius=8
Frame 12: X=213, Y=34, Radius=8
Frame 12: X=156, Y=46, Radius=48
Frame 12: X=373, Y=46, Radius=57
Frame 12: X=276, Y=39, Radius=27
Frame 12: X=82, Y=37, Radius=34
Frame 13: X=305, Y=57, Radius=8
Frame 13: X=213, Y=58, Radius=8
Frame 13: X=213, Y=34, Radius=8
Frame 13: X=413, Y=46, Radius=21
Frame 13: X=156, Y=46, Radius=48
Frame 13: X=376, Y=37, Radius=29
Frame 13: X=341, Y=38, Radius=26
Frame 13: X=276, Y=39, Radius=27
Frame 13: X=82, Y=37, Radius=34
Frame 14: X=305, Y=57, Radius=8
Frame 14: X=213, Y=58, Radius=8
Frame 14: X=213, Y=34, Radius=8
Frame 14: X=156, Y=46, Radius=48
Frame 14: X=373, Y=40, Radius=58
Frame 14: X=276, Y=39, Radius=27
Frame 14: X=82, Y=37, Radius=34
Frame 15: X=305, Y=57, Radius=8
Frame 15: X=213, Y=58, Radius=8
Frame 15: X=213, Y=34, Radius=8
Frame 15: X=156, Y=46, Radius=48
Frame 15: X=373, Y=40, Radius=58
Frame 15: X=276, Y=39, Radius=27
Frame 15: X=82, Y=37, Radius=34
Frame 16: X=305, Y=57, Radius=8
Frame 16: X=213, Y=58, Radius=8
Frame 16: X=213, Y=34, Radius=8
Frame 16: X=413, Y=46, Radius=21
Frame 16: X=156, Y=46, Radius=48
Frame 16: X=376, Y=37, Radius=29
Frame 16: X=335, Y=38, Radius=28
Frame 16: X=276, Y=39, Radius=27
Frame 16: X=82, Y=37, Radius=34
Frame 17: X=305, Y=57, Radius=8
Frame 17: X=213, Y=58, Radius=8
Frame 17: X=213, Y=34, Radius=8
Frame 17: X=156, Y=46, Radius=48
Frame 17: X=374, Y=40, Radius=57
Frame 17: X=276, Y=39, Radius=27
Frame 17: X=82, Y=37, Radius=34
Frame 18: X=305, Y=57, Radius=8
Frame 18: X=213, Y=58, Radius=8
Frame 18: X=213, Y=34, Radius=8
Frame 18: X=156, Y=46, Radius=48
Frame 18: X=374, Y=40, Radius=57
Frame 18: X=276, Y=39, Radius=27
Frame 18: X=82, Y=37, Radius=34
Frame 19: X=305, Y=57, Radius=8
Frame 19: X=213, Y=58, Radius=8
Frame 19: X=213, Y=34, Radius=8
Frame 19: X=413, Y=46, Radius=21
Frame 19: X=156, Y=46, Radius=48
Frame 19: X=376, Y=37, Radius=29
Frame 19: X=338, Y=39, Radius=27
Frame 19: X=276, Y=39, Radius=27
Frame 19: X=82, Y=37, Radius=34
Frame 20: X=305, Y=57, Radius=8
Frame 20: X=213, Y=58, Radius=8
Frame 20: X=213, Y=34, Radius=8
Frame 20: X=156, Y=46, Radius=48
Frame 20: X=394, Y=39, Radius=39
Frame 20: X=336, Y=37, Radius=29
Frame 20: X=276, Y=39, Radius=27
Frame 20: X=82, Y=37, Radius=34
Frame 21: X=305, Y=57, Radius=8
Frame 21: X=213, Y=58, Radius=8
Frame 21: X=213, Y=34, Radius=8
Frame 21: X=156, Y=46, Radius=48
Frame 21: X=393, Y=39, Radius=40
Frame 21: X=336, Y=37, Radius=29
Frame 21: X=276, Y=39, Radius=27
Frame 21: X=82, Y=37, Radius=34
Frame 22: X=305, Y=57, Radius=8
Frame 22: X=213, Y=58, Radius=8
Frame 22: X=213, Y=34, Radius=8
Frame 22: X=413, Y=46, Radius=21
Frame 22: X=156, Y=46, Radius=48
Frame 22: X=356, Y=33, Radius=43
Frame 22: X=276, Y=39, Radius=27
Frame 22: X=82, Y=37, Radius=34
Frame 23: X=305, Y=57, Radius=8
Frame 23: X=213, Y=58, Radius=8
Frame 23: X=213, Y=34, Radius=8
Frame 23: X=156, Y=46, Radius=48
Frame 23: X=373, Y=41, Radius=58
Frame 23: X=276, Y=39, Radius=27
Frame 23: X=82, Y=37, Radius=34
Frame 24: X=305, Y=57, Radius=8
Frame 24: X=213, Y=58, Radius=8
Frame 24: X=213, Y=34, Radius=8
Frame 24: X=156, Y=46, Radius=48
Frame 24: X=373, Y=41, Radius=58
Frame 24: X=276, Y=39, Radius=27
Frame 24: X=82, Y=37, Radius=34
Frame 25: X=305, Y=57, Radius=8
Frame 25: X=213, Y=58, Radius=8
Frame 25: X=213, Y=34, Radius=8
Frame 25: X=413, Y=46, Radius=21
Frame 25: X=156, Y=46, Radius=48
Frame 25: X=376, Y=37, Radius=29
Frame 25: X=335, Y=39, Radius=28
Frame 25: X=276, Y=39, Radius=27
Frame 25: X=82, Y=37, Radius=34
Frame 26: X=305, Y=57, Radius=8
Frame 26: X=213, Y=58, Radius=8
Frame 26: X=213, Y=34, Radius=8
Frame 26: X=156, Y=46, Radius=48
Frame 26: X=373, Y=41, Radius=58
Frame 26: X=276, Y=39, Radius=27
Frame 26: X=82, Y=37, Radius=34
Frame 27: X=305, Y=57, Radius=8
Frame 27: X=213, Y=58, Radius=8
Frame 27: X=213, Y=34, Radius=8
Frame 27: X=156, Y=46, Radius=48
Frame 27: X=393, Y=39, Radius=40
